From Marked List: 
Timespan=2005-2019. Indexes=BKCI-S, ESCI, SSCI, BKCI-SSH, SCI-EXPANDED, IC, A&HCI, CPCI-SSH, CPCI-S, CCR-EXPANDED.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Folding kinetics of a polymer","Ruzicka, Stepan; Quigley, David; Allen, Michael P.","","","","PHYSICAL CHEMISTRY CHEMICAL PHYSICS","2012","2012","14","17","","","","6044","6053","","10.1039/c2cp00051b","","","9","1.13","0","0","0","0","0","0","0","0","3","2","1","1","1","1","0"
"Simultaneous estimation of free energies and rates using forward flux sampling and mean first passage times","Thapar, Vikram; Escobedo, Fernando A.","","","","JOURNAL OF CHEMICAL PHYSICS","DEC 28 2015","2015","143","24","","","","","","244113","10.1063/1.4938248","","","8","1.60","0","0","0","0","0","0","0","0","0","0","0","1","0","7","0"
"SSAGES: Software Suite for Advanced General Ensemble Simulations","Sidky, Hythem; Colon, Yamil J.; Helfferich, Julian; Sikora, Benjamin J.; Bezik, Cody; Chu, Weiwei; Giberti, Federico; Guo, Ashley Z.; Jiang, Xikai; Lequieu, Joshua; Li, Jiyuan; Moller, Joshua; Quevillon, Michael J.; Rahimi, Mohammad; Ramezani-Dakhel, Hadi; Rathee, Vikramjit S.; Reid, Daniel R.; Sevgen, Emre; Thapar, Vikram; Webb, Michael A.; Whitmer, Jonathan K.; de Pablo, Juan J.","","","","JOURNAL OF CHEMICAL PHYSICS","JAN 28 2018","2018","148","4","","","","","","044104","10.1063/1.5008853","","","7","3.50","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0"
"The Flexible Rare Event Sampling Harness System (FRESHS)","Kratzer, Kai; Berryman, Joshua T.; Taudt, Aaron; Zeman, Johannes; Arnold, Axel","","","","COMPUTER PHYSICS COMMUNICATIONS","JUL 2014","2014","185","7","","","","1875","1885","","10.1016/j.cpc.2014.03.013","","","7","1.17","0","0","0","0","0","0","0","0","0","0","4","1","2","0","0"
"Communication: Non-monotonic supersaturation dependence of the nucleus size of crystals with anisotropically interacting molecules","Bingham, R. J.; Rizzi, L. G.; Cabriolu, R.; Auer, S.","","","","JOURNAL OF CHEMICAL PHYSICS","DEC 28 2013","2013","139","24","","","","","","241101","10.1063/1.4861044","","","7","1.00","0","0","0","0","0","0","0","0","0","0","4","2","0","1","0"
"Optimizing transition interface sampling simulations","Borrero, Ernesto E.; Weinwurm, Marcus; Dellago, Christoph","","","","JOURNAL OF CHEMICAL PHYSICS","JUN 28 2011","2011","134","24","","","","","","244118","10.1063/1.3601919","","","7","0.78","0","0","0","0","0","0","1","0","2","0","1","2","1","0","0"
"Noise-induced vortex reversal of self-propelled particles","Chen, Hanshuang; Hou, Zhonghuai","","","","PHYSICAL REVIEW E","OCT 12 2012","2012","86","4","1","","","","","041122","10.1103/PhysRevE.86.041122","","","6","0.75","0","0","0","0","0","0","0","0","3","2","0","0","0","1","0"
"Nucleation in scale-free networks","Chen, Hanshuang; Shen, Chuansheng; Hou, Zhonghuai; Xin, Houwen","","","","PHYSICAL REVIEW E","MAR 10 2011","2011","83","3","1","","","","","031110","10.1103/PhysRevE.83.031110","","","6","0.67","0","0","0","0","0","0","1","0","2","0","2","0","1","0","0"
"Analyzing Complex Reaction Mechanisms Using Path Sampling","van Erp, Titus S.; Moqadam, Mahmoud; Riccardi, Enrico; Lervik, Anders","","","","JOURNAL OF CHEMICAL THEORY AND COMPUTATION","NOV 2016","2016","12","11","","","","5398","5410","","10.1021/acs.jctc.6b00642","","","5","1.25","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0"
"Large deviations of Rouse polymer chain: First passage problem","Cao, Jing; Zhu, Jian; Wang, Zuowei; Likhtman, Alexei E.","","","","JOURNAL OF CHEMICAL PHYSICS","NOV 28 2015","2015","143","20","","","","","","204105","10.1063/1.4936130","","","5","1.00","0","0","0","0","0","0","0","0","0","0","0","2","1","2","0"
